conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,keyword
2062701532303544328,Fri Jun 05 01:02:23 +0000 2026,2,bursa mineral yang kian gila dari monopoli hingga raibnya 390 ton tanah jarang anda mungkin sibuk dengan drama korupsi di bgn dan pencopotan purbaya. tetapi ada drama yang lebih mengguncang perut bumi dan ini jauh lebih berbahaya karena menyangkut cadangan masa depan https://t.co/7r9HjVa887,2062701532303544328,https://pbs.twimg.com/media/HKAv-OTbkAA0e65.png,,in,,0,0,3,https://x.com/undefined/status/2062701532303544328,3152571817,,Baterai EV
2062549240149397629,Thu Jun 04 14:57:13 +0000 2026,6,Baca di sini: https://t.co/tQ1yM58UgA Salah satu kunci merawat motor listrik adalah mengatur pengisian daya baterai. Motor listrik memiliki batas minimal tersendiri yang wajib ditaati oleh penggunanya jika ingin baterai berumur panjang. ~NA #MotorListrik #EV #BateraiEV https://t.co/scBY1AUmLt,2062549240149397629,https://pbs.twimg.com/media/HJ-llwzacAAJ1-Y.jpg,,in,,0,2,0,https://x.com/undefined/status/2062549240149397629,23343960,,Baterai EV
2062331580845310282,Thu Jun 04 00:32:19 +0000 2026,0,Ironi Keamanan EV: Saat Teknologi Baterai Kian Matang Perilaku Pengguna Jadi Tantangan https://t.co/ii8J5pSixf,2062331580845310282,,,in,,0,0,0,https://x.com/undefined/status/2062331580845310282,23786106,,Baterai EV
2061356654562877512,Mon Jun 01 07:58:19 +0000 2026,4,Sobat Gatrik Kendaraan bermotor listrik berbasis baterai atau Electric Vehicle (EV) kini menjadi salah satu solusi transportasi masa depan yang lebih ramah lingkungan efisien dan mendukung transisi energi bersih di Indonesia. Dibandingkan kendaraan berbahan bakar fosil https://t.co/XwmiWoZINR,2061356654562877512,https://pbs.twimg.com/amplify_video_thumb/2061356237116395520/img/DwCOrbf4iziPE_tT.jpg,,in,,0,0,1,https://x.com/undefined/status/2061356654562877512,881756855583637504,,Baterai EV
2060959419215786403,Sun May 31 05:39:50 +0000 2026,207,LIST PASAR INDONESIA YG DIBUKA PRABOWO BUAT ASING INI INDONESIA SEDANG DIJUAL GAK SIH? Prancis → susu dan daging sapi. Turki → tekstil dan manufaktur. Amerika Serikat → mineral kritis dan baterai EV. Kanada → produk peternakan. Rusia → gandum. Tiongkok → nikel dan https://t.co/Zn1IBjYH2j,2060959419215786403,https://pbs.twimg.com/media/HJn_qkiaAAA0EAp.jpg,,in,,10,99,52,https://x.com/undefined/status/2060959419215786403,1031420690505785349,,Baterai EV
2060732509244305864,Sat May 30 14:45:08 +0000 2026,4,dalam 6 bulan pertama - Harga EV berpotensi turun 5 15% - Teknologi baterai ADAS dan infotainment berkembang lebih cepat - Konsumen memperoleh lebih banyak pilihan dengan harga lebih kompetitif Kesimpulan Akhir Pemenang terbesar adalah konsumen Indonesia. New Geely EX2..,2060734258583687660,,Rahadi0816,in,,0,0,4,https://x.com/undefined/status/2060734258583687660,1611567480992043008,,Baterai EV
2060732509244305864,Sat May 30 14:38:11 +0000 2026,4,New Geely EX2 (480 km) &amp; Dampaknya terhadap Pasar EV Indonesia 2026 1. New Geely EX2 Berpotensi Menjadi Game Changer Geely EX2 facelift 2026 hadir dengan kombinasi yang sangat kompetitif: - Jarak tempuh hingga 480 km (CLTC) - Baterai LFP 51 9 kWh - Fast charging 30 80% hanya https://t.co/r9n3gQJsqo,2060732509244305864,https://pbs.twimg.com/media/HJkxSfeaUAAxnv7.jpg,,in,,2,11,4,https://x.com/undefined/status/2060732509244305864,1611567480992043008,,Baterai EV
2060674489957179675,Sat May 30 10:47:38 +0000 2026,63,Kalo dalam Mazhab Austria ngasih warning kalo intervensi besar-besaran negara itu malah jadi awal kehancuran ekonomi. Fase akhir pemikiran Sumitro justru yang paling rasional dan sangat sejalan dengan peringatan para ekonom Austria tentang bahaya crony capitalism. BTW tentang https://t.co/C0ARt53g4n,2060674489957179675,https://pbs.twimg.com/media/HJj8hqCaAAANlE-.jpg,,in,,2,0,22,https://x.com/undefined/status/2060674489957179675,1090191916560396288,,Baterai EV
2060571657534861812,Sat May 30 03:59:01 +0000 2026,36,Wah Bro Kangkung Asin @pedas__manis sontoloyo lagi ngarang cerita dongeng ala anak TK nih. Kunjungan ke Roma ditolak gak ada petinggi yang mau nyambut makanya ngambek nambah Austria-Hungaria. Ibarat anak kecil makin dilarang makin bandel. Dasar pembual kelas kampung! Kamu,2060571657534861812,,,in,,0,13,9,https://x.com/undefined/status/2060571657534861812,235931838,,Baterai EV
2060552923416088870,Sat May 30 02:44:34 +0000 2026,95,Seperti nya sudah banyak yang bisa perbaiki baterai mobil EV Tinggal bagaimana QC dan safety nya Ada yg punya pengalaman perbaikan baterai EV nya? https://t.co/KY2LuQsONk,2060552923416088870,https://pbs.twimg.com/ext_tw_video_thumb/2060552872140660736/pu/img/JCqbMZQJRSYMTsh9.jpg,,in,,0,20,22,https://x.com/undefined/status/2060552923416088870,853206219611185152,,Baterai EV
